,,Site A (Forest),Site A,Site A,Site A,Site A
3/16/16 11:00,11,0,0,0,0,0
3/16/16 14:00,14,0,0,0,0,30.079
3/16/16 17:00,17,0,0,0,,
3/17/16 8:00,8,0,0,0,,
3/17/16 11:00,11,0,0,0,,
3/17/16 14:00,14,0,0,0,0,0
3/17/16 17:00,17,0,0,0,,
3/18/16 8:00,8,0,0,0,0,0
3/18/16 11:00,11,0,0,0,0,0
3/18/16 14:00,14,0,0,0,0,0
3/18/16 17:00,17,0,0,0,0,0
3/19/16 8:00,8,0,0,0,0,0
3/19/16 11:00,11,0,0,0,0,0
3/19/16 14:00,14,0,0,0,0,0
3/19/16 17:00,17,0,0,0,0,0
3/20/16 8:00,8,0,0,0,0,0
3/20/16 11:00,11,0,0,0,0,0
3/20/16 14:00,14,0,0,0,0,0
3/20/16 17:00,17,0,0,0,0,0
3/21/16 8:00,8,0,0,0,0,0
3/21/16 11:00,11,0,0,0,0,0
3/21/16 14:00,14,0,0,0,0,0
3/21/16 17:00,17,,88.664,88.664,,
3/22/16 8:00,8,177.33,177.33,88.664,94.286,270.71
3/22/16 11:00,11,177,177,0,62.857,0
3/22/16 14:00,14,165.84,165.84,0,0,30.079
3/22/16 17:00,17,142.88,142.88,0,0,0
3/23/16 8:00,8,165.84,165.84,22.968,0,30.079
3/23/16 11:00,11,149,149,0,94.286,0
3/23/16 14:00,14,0,0,0,0,240.63
3/23/16 17:00,17,0,0,0,,
3/24/16 8:00,8,0,0,0,,
3/24/16 11:00,11,0,0,0,,
3/24/16 14:00,14,0,0,0,0,0
3/24/16 17:00,17,0,0,0,0,0
3/25/16 8:00,8,0,0,0,0,0
3/25/16 11:00,11,0,0,0,0,0
3/25/16 14:00,14,0,0,0,0,0
3/25/16 17:00,17,0,0,0,0,0
3/26/16 8:00,8,0,0,0,0,0
3/26/16 11:00,11,0,0,0,0,0
3/26/16 14:00,14,0,0,0,0,0
3/26/16 17:00,17,0,0,0,0,0
3/27/16 8:00,8,0,0,0,0,0
3/27/16 11:00,11,0,0,0,0,0
3/27/16 14:00,14,0,0,0,0,0
3/27/16 17:00,17,0,0,0,0,0
3/28/16 8:00,8,0,0,0,0,0
3/28/16 11:00,11,0,0,0,0,0
3/28/16 14:00,14,0,0,0,,
3/28/16 17:00,17,194.55,194.55,194.55,62.857,270.71
3/29/16 8:00,8,183.07,183.07,0,0,60.159
3/29/16 11:00,11,211.78,211.78,28.71,94.286,0
3/29/16 14:00,14,142.88,142.88,0,0,30.079
3/29/16 17:00,17,154.36,154.36,11.484,62.857,0
3/30/16 8:00,8,160.1,160.1,5.742,62.857,30.079
3/30/16 11:00,11,122,122,0,157.14,90.238
3/30/16 14:00,14,0,0,0,94.286,30.079
3/30/16 17:00,17,0,0,0,0,0
3/31/16 8:00,8,0,0,0,0,0
3/31/16 11:00,11,0,0,0,0,0
3/31/16 14:00,14,0,0,0,0,0
3/31/16 17:00,17,0,0,0,0,0
4/1/16 8:00,8,0,0,0,0,0
4/1/16 11:00,11,0,0,0,0,0
4/1/16 14:00,14,0,0,0,0,0
4/1/16 17:00,17,0,0,0,0,0
4/2/16 8:00,8,0,0,0,0,0
4/2/16 11:00,11,0,0,0,0,0
4/2/16 14:00,14,0,0,0,0,0
4/2/16 17:00,17,0,0,0,0,0
4/3/16 8:00,8,0,0,0,0,0
4/3/16 11:00,11,0,0,0,0,0
4/3/16 14:00,14,0,0,0,0,0
4/3/16 17:00,17,0,0,0,0,0
4/4/16 8:00,8,0,0,0,0,0
4/4/16 11:00,11,0,0,0,0,0
4/4/16 14:00,14,0,0,0,0,0
4/4/16 17:00,17,0,0,0,0,0
4/5/16 8:00,8,0,0,0,0,0
4/5/16 11:00,11,0,0,0,0,0
4/5/16 14:00,14,0,0,0,0,0
4/5/16 17:00,17,0,0,0,0,0
4/6/16 8:00,8,0,0,0,0,0
4/6/16 11:00,11,0,0,0,0,0
4/6/16 14:00,14,0,0,0,0,0
4/6/16 17:00,17,0,0,0,0,0
4/7/16 8:00,8,0,0,0,0,0
4/7/16 11:00,11,0,0,0,0,0
4/7/16 14:00,14,0,0,0,0,0
4/7/16 17:00,17,0,0,0,0,0
4/8/16 8:00,8,0,0,0,0,0
4/8/16 11:00,11,0,0,0,0,0
4/8/16 14:00,14,0,0,0,0,0
4/8/16 17:00,17,0,0,0,0,0
4/9/16 8:00,8,0,0,0,,
4/9/16 11:00,11,0,0,0,,
4/9/16 14:00,14,0,0,0,0,0
4/9/16 17:00,17,0,0,0,0,0
4/10/16 8:00,8,0,0,0,0,0
4/10/16 11:00,11,0,0,0,0,0
4/10/16 14:00,14,0,0,0,0,0
4/10/16 17:00,17,0,0,0,0,0
4/11/16 8:00,8,0,0,0,0,0
4/11/16 11:00,11,0,0,0,0,0
4/11/16 14:00,14,0,0,0,0,0
4/11/16 17:00,17,0,0,0,0,0
4/12/16 8:00,8,0,0,0,0,0
4/12/16 11:00,11,0,0,0,0,0
4/12/16 14:00,14,0,0,0,0,0
4/12/16 17:00,17,0,0,0,0,0
4/13/16 8:00,8,0,0,0,0,0
4/13/16 11:00,11,0,0,0,0,0
4/13/16 14:00,14,0,0,0,0,0
4/13/16 17:00,17,0,0,0,0,0
4/14/16 8:00,8,0,0,0,0,0
4/14/16 11:00,11,0,0,0,0,0
4/14/16 14:00,14,0,0,0,0,0
4/14/16 17:00,17,0,0,0,0,0
4/15/16 8:00,8,0,0,0,0,0
4/15/16 11:00,11,0,0,0,0,0
4/15/16 14:00,14,0,0,0,0,0
4/15/16 17:00,17,0,0,0,0,0
4/16/16 8:00,8,0,0,0,0,0
4/16/16 11:00,11,0,0,0,0,0
4/16/16 14:00,14,0,0,0,0,0
4/16/16 17:00,17,0,0,0,0,0
4/17/16 8:00,8,0,0,0,0,0
4/17/16 11:00,11,0,0,0,0,0
4/17/16 14:00,14,0,0,0,0,0
4/17/16 17:00,17,0,0,0,0,0
4/18/16 8:00,8,0,0,0,0,0
4/18/16 11:00,11,0,0,0,0,0
4/18/16 14:00,14,0,0,0,0,0
4/18/16 17:00,17,0,0,0,0,0
4/19/16 8:00,8,0,0,0,0,0
4/19/16 11:00,11,0,0,0,0,0
4/19/16 14:00,14,0,0,0,0,0
4/19/16 17:00,17,0,0,0,0,0
4/20/16 8:00,8,0,0,0,0,0
4/20/16 11:00,11,0,0,0,0,0
4/20/16 14:00,14,0,0,0,0,0
4/20/16 17:00,17,0,0,0,0,0
4/21/16 8:00,8,,,,0,0
4/21/16 11:00,11,,,,0,0
4/21/16 14:00,14,,,,0,0
4/21/16 17:00,17,,,,0,0
4/22/16 8:00,8,,,,0,0
4/22/16 11:00,11,,,,0,0
4/22/16 14:00,14,,,,0,0
4/22/16 17:00,17,,,,,
4/23/16 8:00,8,,,,31.429,0
4/23/16 11:00,11,,,,157.14,120.32
4/23/16 14:00,14,,,,0,0
4/23/16 17:00,17,,,,,
4/24/16 8:00,8,,,,0,0
4/24/16 11:00,11,,,,0,0
4/24/16 14:00,14,,,,0,0
4/24/16 17:00,17,,,,,
4/25/16 8:00,8,,,,0,0
4/25/16 11:00,11,,,,0,30.079
4/25/16 14:00,14,,,,0,0
4/25/16 17:00,17,,,,0,0
4/26/16 8:00,8,,,,0,0
4/26/16 11:00,11,,,,0,0
4/26/16 14:00,14,,,,0,0
4/26/16 17:00,17,,,,0,0
4/27/16 8:00,20,,,,0,0
4/27/16 11:00,23,,,,0,0
4/27/16 14:00,26,,,,0,0
4/27/16 17:00,29,,,,0,0
4/28/16 8:00,32,,,,,
4/28/16 11:00,35,,,,,
4/28/16 14:00,38,,,,0,0
4/28/16 17:00,41,,,,0,0
,,,,,,
10/31/16 8:00,8:00:00 AM,0,0,0,,
10/31/16 10:00,10:00:00 AM,8.6207,8.6207,8.6207,,
10/31/16 12:00,12:00:00 PM,0,0,0,,
10/31/16 14:00,2:00:00 PM,17.241,17.241,17.241,,
10/31/16 16:00,4:00:00 PM,0,0,0,,
11/1/16 8:00,8:00:00 AM,0,0,0,,
11/1/16 10:00,10:00:00 AM,0,0,0,,
11/1/16 12:00,12:00:00 PM,0,0,0,,
11/1/16 14:00,2:00:00 PM,0,0,0,,
11/1/16 16:00,4:00:00 PM,0,0,0,,
11/2/16 8:00,8:00:00 AM,0,0,0,,
11/2/16 10:00,10:00:00 AM,,0,0,,
11/2/16 12:00,12:00:00 PM,0,0,0,,
11/2/16 14:00,2:00:00 PM,0,0,0,,
11/2/16 16:00,4:00:00 PM,0,0,0,,
11/3/16 8:00,8:00:00 AM,0,0,0,,
11/3/16 10:00,10:00:00 AM,,0,0,,
11/3/16 12:00,12:00:00 PM,0,0,0,,
11/3/16 14:00,2:00:00 PM,19.276,19.276,19.276,,
11/3/16 16:00,4:00:00 PM,1.7038,1.7038,0,,
11/4/16 8:00,8:00:00 AM,0,0,0,,
11/4/16 10:00,10:00:00 AM,0,0,0,,
11/4/16 12:00,12:00:00 PM,0,0,0,,
11/4/16 14:00,2:00:00 PM,15.086,15.086,15.086,,
11/4/16 16:00,4:00:00 PM,0.99469,0.99469,0,,
11/5/16 8:00,8:00:00 AM,0,0,0,,
11/5/16 10:00,10:00:00 AM,,0,0,,
11/5/16 12:00,12:00:00 PM,0,0,0,,
11/5/16 14:00,2:00:00 PM,1.2113,1.2113,1.2113,,
11/5/16 16:00,4:00:00 PM,0,0,0,,
11/6/16 8:00,8:00:00 AM,0,0,0,,
11/6/16 10:00,10:00:00 AM,0,0,0,,
11/6/16 12:00,12:00:00 PM,0,0,0,,
11/6/16 14:00,2:00:00 PM,0,0,0,,
11/6/16 16:00,4:00:00 PM,0,0,0,,
11/7/16 8:00,8:00:00 AM,0,0,0,,
11/7/16 10:00,10:00:00 AM,,0.19538,0.19538,,
11/7/16 12:00,12:00:00 PM,,0.39075,0.19538,,
11/7/16 14:00,2:00:00 PM,0.58613,0.58613,0.19538,,
11/7/16 16:00,4:00:00 PM,0,0,0,,
11/8/16 8:00,8:00:00 AM,0,0,0,,
11/8/16 10:00,10:00:00 AM,,0.24713,0.24713,,
11/8/16 12:00,12:00:00 PM,,0.49427,0.24713,,
11/8/16 14:00,2:00:00 PM,0.7414,0.7414,0.24713,,
11/8/16 16:00,4:00:00 PM,0.84964,0.84964,0.10823,,
11/9/16 8:00,8:00:00 AM,0,0,0,,
11/9/16 10:00,10:00:00 AM,,0,0,,
11/9/16 12:00,12:00:00 PM,0,0,0,,
11/9/16 14:00,2:00:00 PM,0.74176,0.74176,0.74176,,
11/9/16 16:00,4:00:00 PM,0,0,0,,
11/10/16 8:00,8:00:00 AM,0,0,0,,
11/10/16 10:00,10:00:00 AM,,0,0,,
11/10/16 12:00,12:00:00 PM,,0,0,,
11/10/16 14:00,2:00:00 PM,,0,0,,
11/10/16 16:00,4:00:00 PM,,0,0,,
11/11/16 8:00,8:00:00 AM,0,0,0,,
11/11/16 10:00,10:00:00 AM,,0,0,,
11/11/16 12:00,12:00:00 PM,0,0,0,,
11/11/16 14:00,2:00:00 PM,0.68417,0.68417,0.68417,,
11/11/16 16:00,4:00:00 PM,0.65531,0.65531,0,,
11/12/16 8:00,8:00:00 AM,0,0,0,,
11/12/16 10:00,10:00:00 AM,,0,0,,
11/12/16 12:00,12:00:00 PM,0,0,0,,
11/12/16 14:00,2:00:00 PM,0.66829,0.66829,0.66829,,
11/12/16 16:00,4:00:00 PM,1.086,1.086,0.41768,,
11/13/16 8:00,8:00:00 AM,0,0,0,,
11/13/16 10:00,10:00:00 AM,,0,0,,
11/13/16 12:00,12:00:00 PM,0,0,0,,
11/13/16 14:00,2:00:00 PM,0.47764,0.47764,0.47764,,
11/13/16 16:00,4:00:00 PM,,0.23882,0,,
11/14/16 8:00,8:00:00 AM,0,0,0,,
11/14/16 10:00,10:00:00 AM,,0,0,,
11/14/16 12:00,12:00:00 PM,,0,0,,
11/14/16 14:00,2:00:00 PM,,0,0,,
11/14/16 16:00,4:00:00 PM,0,0,0,,
11/15/16 8:00,8:00:00 AM,0,0,0,,
11/15/16 10:00,10:00:00 AM,,0.044899,0.044899,,
11/15/16 12:00,12:00:00 PM,,0.089799,0.044899,,
11/15/16 14:00,2:00:00 PM,,0.1347,0.044899,,
11/15/16 16:00,4:00:00 PM,0.1796,0.1796,0.044899,,
11/16/16 8:00,8:00:00 AM,0,0,0,,
11/16/16 10:00,10:00:00 AM,,0,0,,
11/16/16 12:00,12:00:00 PM,0,0,0,,
11/16/16 14:00,2:00:00 PM,0,0,0,,
11/16/16 16:00,4:00:00 PM,0,0,0,,
11/17/16 8:00,8:00:00 AM,0,0,0,,
11/17/16 10:00,10:00:00 AM,,0,0,,
11/17/16 12:00,12:00:00 PM,0,0,0,,
11/17/16 14:00,2:00:00 PM,,0,0,,
11/17/16 16:00,4:00:00 PM,0,0,0,,
11/18/16 8:00,8:00:00 AM,0,0,0,,
11/18/16 10:00,10:00:00 AM,,0,0,,
11/18/16 12:00,12:00:00 PM,0,0,0,,
11/18/16 14:00,2:00:00 PM,,0,0,,
11/18/16 16:00,4:00:00 PM,0,0,0,,
11/19/16 8:00,8:00:00 AM,0,0,0,,
11/19/16 10:00,10:00:00 AM,0,0,0,,
11/19/16 12:00,12:00:00 PM,0,0,0,,
11/19/16 14:00,2:00:00 PM,0,0,0,,
11/19/16 16:00,4:00:00 PM,0,0,0,,
11/20/16 8:00,8:00:00 AM,0,0,0,,
11/20/16 10:00,10:00:00 AM,0,0,0,,
11/20/16 12:00,12:00:00 PM,0,0,0,,
11/20/16 14:00,2:00:00 PM,0,0,0,,
11/20/16 16:00,4:00:00 PM,0,0,0,,
11/21/16 8:00,8:00:00 AM,0,0,0,,
11/21/16 10:00,10:00:00 AM,0,0,0,,
11/21/16 12:00,12:00:00 PM,0,0,0,,
11/21/16 14:00,2:00:00 PM,0,0,0,,
11/21/16 16:00,4:00:00 PM,0,0,0,,
11/22/16 8:00,8:00:00 AM,0,0,0,,
11/22/16 10:00,10:00:00 AM,0,0,0,,
11/22/16 12:00,12:00:00 PM,0,0,0,,
11/22/16 14:00,2:00:00 PM,0,0,0,,
11/22/16 16:00,4:00:00 PM,0,0,0,,
11/23/16 8:00,8:00:00 AM,0,0,0,,
11/23/16 10:00,10:00:00 AM,0,0,0,,
11/23/16 12:00,12:00:00 PM,0,0,0,,
11/23/16 14:00,2:00:00 PM,14.478,14.478,14.478,,
11/23/16 16:00,4:00:00 PM,0,0,0,,
11/24/16 8:00,8:00:00 AM,0,0,0,,
11/24/16 10:00,10:00:00 AM,0,0,0,,
11/24/16 12:00,12:00:00 PM,0,0,0,,
11/24/16 14:00,2:00:00 PM,0,0,0,,
11/24/16 16:00,4:00:00 PM,0,0,0,,
11/25/16 8:00,8:00:00 AM,0,0,0,,
11/25/16 10:00,10:00:00 AM,,0,0,,
11/25/16 12:00,12:00:00 PM,0,0,0,,
11/25/16 14:00,2:00:00 PM,0,0,0,,
11/25/16 16:00,4:00:00 PM,0,0,0,,
11/26/16 8:00,8:00:00 AM,0,0,0,,
11/26/16 10:00,10:00:00 AM,0,0,0,,
11/26/16 12:00,12:00:00 PM,0,0,0,,
11/26/16 14:00,2:00:00 PM,0,0,0,,
11/26/16 16:00,4:00:00 PM,0,0,0,,
11/27/16 8:00,8:00:00 AM,242.76,242.76,242.76,,
11/27/16 10:00,10:00:00 AM,251.43,251.43,8.6721,,
11/27/16 12:00,12:00:00 PM,335.28,335.28,83.844,,
11/27/16 14:00,2:00:00 PM,335.28,335.28,0,,
11/27/16 16:00,4:00:00 PM,324.2,324.2,0,,
11/28/16 8:00,8:00:00 AM,190.44,190.44,0,,
11/28/16 10:00,10:00:00 AM,251.43,251.43,60.996,,
11/28/16 12:00,12:00:00 PM,234.19,234.19,0,,
11/28/16 14:00,2:00:00 PM,269.86,269.86,35.668,,
11/28/16 16:00,4:00:00 PM,269.86,269.86,0,,
11/29/16 8:00,8:00:00 AM,216.21,216.21,0,,
11/29/16 10:00,10:00:00 AM,297.52,297.52,81.313,,
11/29/16 12:00,12:00:00 PM,269.86,269.86,0,,
11/29/16 14:00,2:00:00 PM,207.61,207.61,0,,
11/29/16 16:00,4:00:00 PM,234.19,234.19,26.577,,
11/30/16 8:00,8:00:00 AM,199.02,199.02,0,,
11/30/16 10:00,10:00:00 AM,224.8,224.8,25.776,,
11/30/16 12:00,12:00:00 PM,224.8,224.8,0,,
11/30/16 14:00,2:00:00 PM,215.52,215.52,0,,
11/30/16 16:00,4:00:00 PM,194.49,194.49,0,,
12/1/16 8:00,8:00:00 AM,156.13,156.13,0,,
12/1/16 10:00,10:00:00 AM,164.7,164.7,8.5707,,
12/1/16 12:00,12:00:00 PM,199.02,199.02,34.326,,
12/1/16 14:00,2:00:00 PM,199.02,199.02,0,,
12/1/16 16:00,4:00:00 PM,190.44,190.44,0,,
12/2/16 8:00,8:00:00 AM,190.44,190.44,0,,
12/2/16 10:00,10:00:00 AM,176.16,176.16,0,,
12/2/16 12:00,12:00:00 PM,190.44,190.44,14.277,,
12/2/16 14:00,2:00:00 PM,173.27,173.27,0,,
12/2/16 16:00,4:00:00 PM,130.45,130.45,0,,
12/3/16 8:00,8:00:00 AM,147.56,147.56,17.108,,
12/3/16 10:00,10:00:00 AM,156.13,156.13,8.5649,,
12/3/16 12:00,12:00:00 PM,139,139,0,,
12/3/16 14:00,2:00:00 PM,106.63,106.63,0,,
12/3/16 16:00,4:00:00 PM,95.219,95.219,0,,
12/4/16 8:00,8:00:00 AM,78.064,78.064,0,,
12/4/16 10:00,10:00:00 AM,86.637,86.637,8.5732,,
12/4/16 12:00,12:00:00 PM,78.064,78.064,0,,
12/4/16 14:00,2:00:00 PM,60.957,60.957,0,,
12/4/16 16:00,4:00:00 PM,52.438,52.438,0,,
12/5/16 8:00,8:00:00 AM,25.862,25.862,0,,
12/5/16 10:00,10:00:00 AM,43.103,43.103,17.241,,
12/5/16 12:00,12:00:00 PM,34.483,34.483,0,,
12/5/16 14:00,2:00:00 PM,43.103,43.103,8.6207,,
12/5/16 16:00,4:00:00 PM,34.483,34.483,0,,
12/6/16 8:00,8:00:00 AM,8.6207,8.6207,0,,
12/6/16 10:00,10:00:00 AM,8.6207,8.6207,0,,
12/6/16 12:00,12:00:00 PM,25.862,25.862,17.241,,
12/6/16 14:00,2:00:00 PM,25.862,25.862,0,,
12/6/16 16:00,4:00:00 PM,25.862,25.862,0,,
12/7/16 8:00,8:00:00 AM,17.241,17.241,0,,
12/7/16 10:00,10:00:00 AM,34.483,34.483,17.241,,
12/7/16 12:00,12:00:00 PM,17.241,17.241,0,,
12/7/16 14:00,2:00:00 PM,34.483,34.483,17.241,,
12/7/16 16:00,4:00:00 PM,34.483,34.483,0,,
12/8/16 8:00,8:00:00 AM,0,0,0,,
12/8/16 10:00,10:00:00 AM,0,0,0,,
12/8/16 12:00,12:00:00 PM,,0,0,,
12/8/16 14:00,2:00:00 PM,,0,0,,
12/8/16 16:00,4:00:00 PM,,0,0,,
12/9/16 8:00,8:00:00 AM,0,0,0,,
12/9/16 10:00,10:00:00 AM,0,0,0,,
12/9/16 12:00,12:00:00 PM,0,0,0,,
12/9/16 14:00,2:00:00 PM,0,0,0,,
12/9/16 16:00,4:00:00 PM,0,0,0,,
12/10/16 8:00,8:00:00 AM,0,0,0,,
12/10/16 10:00,10:00:00 AM,0,0,0,,
12/10/16 12:00,12:00:00 PM,0,0,0,,
12/10/16 14:00,2:00:00 PM,,0,0,,
12/10/16 16:00,4:00:00 PM,,0,0,,
12/11/16 8:00,8:00:00 AM,0,0,0,,
12/11/16 10:00,10:00:00 AM,0,0,0,,
12/11/16 12:00,12:00:00 PM,0,0,0,,
12/11/16 14:00,2:00:00 PM,0,0,0,,
12/11/16 16:00,4:00:00 PM,0,0,0,,
12/12/16 8:00,8:00:00 AM,0,0,0,,
12/12/16 10:00,10:00:00 AM,0,0,0,,
12/12/16 12:00,12:00:00 PM,0,0,0,,
12/12/16 14:00,2:00:00 PM,0,0,0,,
12/12/16 16:00,4:00:00 PM,0,0,0,,
12/13/16 8:00,8:00:00 AM,0,0,0,,
12/13/16 10:00,10:00:00 AM,0,0,0,,
12/13/16 12:00,12:00:00 PM,0,0,0,,
12/13/16 14:00,2:00:00 PM,0,0,0,,
12/13/16 16:00,4:00:00 PM,0,0,0,,
12/14/16 8:00,8:00:00 AM,0,0,0,,
12/14/16 10:00,10:00:00 AM,0,0,0,,
12/14/16 12:00,12:00:00 PM,0,0,0,,
12/14/16 14:00,2:00:00 PM,0,0,0,,
12/14/16 16:00,4:00:00 PM,0,0,0,,
12/15/16 8:00,8:00:00 AM,0,0,0,,
12/15/16 10:00,10:00:00 AM,0,0,0,,
12/15/16 12:00,12:00:00 PM,0,0,0,,
12/15/16 14:00,2:00:00 PM,0,0,0,,
12/15/16 16:00,4:00:00 PM,0,0,0,,
12/16/16 8:00,8:00:00 AM,0,0,0,,
12/16/16 10:00,10:00:00 AM,0,0,0,,
12/16/16 12:00,12:00:00 PM,0,0,0,,
12/16/16 14:00,2:00:00 PM,0,0,0,,
12/16/16 16:00,4:00:00 PM,0,0,0,,
12/17/16 8:00,8:00:00 AM,0,0,0,,
12/17/16 10:00,10:00:00 AM,0,0,0,,
12/17/16 12:00,12:00:00 PM,0,0,0,,
12/17/16 14:00,2:00:00 PM,0,0,0,,
12/17/16 16:00,4:00:00 PM,0,0,0,,
12/18/16 8:00,8:00:00 AM,0,0,0,,
12/18/16 10:00,10:00:00 AM,0,0,0,,
12/18/16 12:00,12:00:00 PM,0,0,0,,
12/18/16 14:00,2:00:00 PM,8.6207,8.6207,8.6207,,
12/18/16 16:00,4:00:00 PM,0,0,0,,
12/19/16 8:00,8:00:00 AM,0,0,0,,
12/19/16 10:00,10:00:00 AM,,0,0,,
12/19/16 12:00,12:00:00 PM,,0,0,,
12/19/16 14:00,2:00:00 PM,0,0,0,,
12/19/16 16:00,4:00:00 PM,,0,0,,
12/20/16 8:00,8:00:00 AM,0,0,0,,
12/20/16 10:00,10:00:00 AM,,0,0,,
12/20/16 12:00,12:00:00 PM,0,0,0,,
12/20/16 14:00,2:00:00 PM,8.6207,8.6207,8.6207,,
12/20/16 16:00,4:00:00 PM,,4.3103,0,,
12/21/16 8:00,8:00:00 AM,0,0,0,,
12/21/16 10:00,10:00:00 AM,0,0,0,,
12/21/16 12:00,12:00:00 PM,0,0,0,,
12/21/16 14:00,2:00:00 PM,0,0,0,,
12/21/16 16:00,4:00:00 PM,,0,0,,
12/22/16 8:00,8:00:00 AM,0,0,0,,
12/22/16 10:00,10:00:00 AM,,0,0,,
12/22/16 12:00,12:00:00 PM,0,0,0,,
12/22/16 14:00,2:00:00 PM,1.347,1.347,1.347,,
12/22/16 16:00,4:00:00 PM,,0.67349,0,,
12/23/16 8:00,8:00:00 AM,0,0,0,,
12/23/16 10:00,10:00:00 AM,0,0,0,,
12/23/16 12:00,12:00:00 PM,0,0,0,,
12/23/16 14:00,2:00:00 PM,0,0,0,,
12/23/16 16:00,4:00:00 PM,0,0,0,,
12/24/16 8:00,8:00:00 AM,139,139,139,,
12/24/16 10:00,10:00:00 AM,153,153,13.999,,
12/24/16 12:00,12:00:00 PM,190.44,190.44,37.434,,
12/24/16 14:00,2:00:00 PM,199.02,199.02,8.5868,,
12/24/16 16:00,4:00:00 PM,199.02,199.02,0,,
12/25/16 8:00,8:00:00 AM,181.85,181.85,0,,
12/25/16 10:00,10:00:00 AM,173.27,173.27,0,,
12/25/16 12:00,12:00:00 PM,199.02,199.02,25.75,,
12/25/16 14:00,2:00:00 PM,207.61,207.61,8.5896,,
12/25/16 16:00,4:00:00 PM,199.02,199.02,0,,
12/26/16 8:00,8:00:00 AM,173.27,173.27,0,,
12/26/16 10:00,10:00:00 AM,155.41,155.41,0,,
12/26/16 12:00,12:00:00 PM,181.85,181.85,26.442,,
12/26/16 14:00,2:00:00 PM,147.56,147.56,0,,
12/26/16 16:00,4:00:00 PM,139,139,0,,
12/27/16 8:00,8:00:00 AM,52.438,52.438,0,,
12/27/16 10:00,10:00:00 AM,130.45,130.45,78.017,,
12/27/16 12:00,12:00:00 PM,129.31,129.31,0,,
12/27/16 14:00,2:00:00 PM,147.56,147.56,18.252,,
12/27/16 16:00,4:00:00 PM,78.064,78.064,0,,
12/28/16 8:00,8:00:00 AM,34.483,34.483,0,,
12/28/16 10:00,10:00:00 AM,65.94,65.94,31.457,,
12/28/16 12:00,12:00:00 PM,43.103,43.103,0,,
12/28/16 14:00,2:00:00 PM,60.957,60.957,17.854,,
12/28/16 16:00,4:00:00 PM,43.103,43.103,0,,
12/29/16 8:00,8:00:00 AM,25.862,25.862,0,,
12/29/16 10:00,10:00:00 AM,14.131,14.131,0,,
12/29/16 12:00,12:00:00 PM,17.241,17.241,3.1104,,
12/29/16 14:00,2:00:00 PM,25.862,25.862,8.6207,,
12/29/16 16:00,4:00:00 PM,17.241,17.241,0,,
12/30/16 8:00,8:00:00 AM,0,0,0,,
12/30/16 10:00,10:00:00 AM,0,0,0,,
12/30/16 12:00,12:00:00 PM,0,0,0,,
12/30/16 14:00,2:00:00 PM,0,0,0,,
12/30/16 16:00,4:00:00 PM,0,0,0,,
12/31/16 8:00,8:00:00 AM,0,0,0,,
12/31/16 10:00,10:00:00 AM,0,0,0,,
12/31/16 12:00,12:00:00 PM,0,0,0,,
12/31/16 14:00,2:00:00 PM,0,0,0,,
12/31/16 16:00,4:00:00 PM,0,0,0,,
1/1/17 8:00,8:00:00 AM,0,0,0,,
1/1/17 10:00,10:00:00 AM,0,0,0,,
1/1/17 12:00,12:00:00 PM,0,0,0,,
1/1/17 14:00,2:00:00 PM,0,0,0,,
1/1/17 16:00,4:00:00 PM,0,0,0,,
1/2/17 8:00,8:00:00 AM,0,0,0,,
1/2/17 10:00,10:00:00 AM,0,0,0,,
1/2/17 12:00,12:00:00 PM,0,0,0,,
1/2/17 14:00,2:00:00 PM,0,0,0,,
1/2/17 16:00,4:00:00 PM,0,0,0,,
1/3/17 8:00,8:00:00 AM,0,0,0,,
1/3/17 10:00,10:00:00 AM,0,0,0,,
1/3/17 12:00,12:00:00 PM,0,0,0,,
1/3/17 14:00,2:00:00 PM,0,0,0,,
1/3/17 16:00,4:00:00 PM,0,0,0,,
1/4/17 8:00,8:00:00 AM,95.219,95.219,95.219,,
1/4/17 10:00,10:00:00 AM,,69.161,0,,
1/4/17 12:00,12:00:00 PM,43.103,43.103,0,,
1/4/17 14:00,2:00:00 PM,60.957,60.957,17.854,,
1/4/17 16:00,4:00:00 PM,88.192,88.192,27.235,,
1/5/17 8:00,8:00:00 AM,69.502,69.502,0,,
1/5/17 10:00,10:00:00 AM,78.064,78.064,8.5614,,
1/5/17 12:00,12:00:00 PM,78.064,78.064,0,,
1/5/17 14:00,2:00:00 PM,60.957,60.957,0,,
1/5/17 16:00,4:00:00 PM,69.502,69.502,8.5447,,
1/6/17 8:00,8:00:00 AM,78.064,78.064,8.5614,,
1/6/17 10:00,10:00:00 AM,69.502,69.502,0,,
1/6/17 12:00,12:00:00 PM,164.7,164.7,95.196,,
1/6/17 14:00,2:00:00 PM,181.85,181.85,17.156,,
1/6/17 16:00,4:00:00 PM,139,139,0,,
1/7/17 8:00,8:00:00 AM,95.219,95.219,0,,
1/7/17 10:00,10:00:00 AM,78.064,78.064,0,,
1/7/17 12:00,12:00:00 PM,43.103,43.103,0,,
1/7/17 14:00,2:00:00 PM,34.483,34.483,0,,
1/7/17 16:00,4:00:00 PM,43.103,43.103,8.6207,,
1/8/17 8:00,8:00:00 AM,0,0,0,,
1/8/17 10:00,10:00:00 AM,0,0,0,,
1/8/17 12:00,12:00:00 PM,0,0,0,,
1/8/17 14:00,2:00:00 PM,0,0,0,,
1/8/17 16:00,4:00:00 PM,0,0,0,,
